Graph;Type;Time;Tau_sugg;Tau_used;Scaling;StressOn;StressOff;Movement;Crowding;Coarsening_Depth;Coarsening_Time;Events_Processed
Rugby;visone;0.079;;;0.6830134553650705;3.080312912383598;2.705129460812963;25.466782666155567;6
Dialogs;visone;3.391;;;0.17985878990921358;0.6244795153141611;0.8758759812133501;5.44279420230391;682
VanDeBunt;visone;0.128;;;1.0;1.1446159655888077;1.4637372465775873;3.79937588726009;0
Newcomb;visone;0.109;;;1.0;14.043867450705044;14.767668570098742;16.363219616138277;8
InfoVis;visone;77.430;;;0.4665073802097331;51.6638211517939;52.97821278126149;2.1462357829600345;36

Graph;Type;Time;Tau_sugg;Tau_used;Scaling;StressOn;StressOff;Movement;Crowding;Coarsening_Depth;Coarsening_Time;Events_Processed
Rugby;visone;0.079;;;0.6830134553650705;3.080312912383598;2.705129460812963;25.466782666155567;6
Dialogs;visone;3.391;;;0.17985878990921358;0.6244795153141611;0.8758759812133501;5.44279420230391;682
VanDeBunt;visone;0.128;;;1.0;1.1446159655888077;1.4637372465775873;3.79937588726009;0
Newcomb;visone;0.109;;;1.0;14.043867450705044;14.767668570098742;16.363219616138277;8
InfoVis;visone;77.430;;;0.4665073802097331;51.6638211517939;52.97821278126149;2.1462357829600345;36
